headline,label
technopoli plan develop stage area less 100000 square peters order host company work computer technology telecommunication statement say,neutral
international electronic industry company elcoteq lay ten employee talk facility contrary early layoff company contract rank office worker daily postimee report,negative
new production plant company would increase capacity meet expect increase demand would improve use raw material therefore increase production profitability,positive
accord company update strategy year 20092012 aware target long net sale growth range 20 40 operating profit margin 10 20 net sale,positive
finance aspocomp growth aspocomp aggressive pursue growth strategy increasingly rouse technological demand hide print circuit board pus,positive
last quarter 2010 component net sale double eur 131 m eur 76 m period year early move zero pretty profit pretty loss durum,positive
third quarter 2010 net sale increase 52 our 2055 in operate profit 349 our 235 in,positive
operating profit rise our 131 in our 87 in corresponding period 2007 represent 77 net sale,positive
operate profit total our 211 in our 186 in 2007 represent 97 net sale,positive
teliasonera then say offer line strategy increase ownership core business holding would strengthen west telekom offer customer,positive
story endo horse so real upmkymmene credit cuisse first boston case raise fair value share four large sordid forestry group,positive
purchase agreement 7200 ton gasoline delivery lamina terminal finland sign nest oil of average plate index september plus eight us dollar per month,positive
finnish talent report operating profit increase our 205 in 2005 our 93 in 2004 net sale total our 1033 in our 964 in,positive
clothing retail chain seppælæ sale increase 8 our 1552 in operating profit rise our 311 in our 171 in 2004,positive
consolidated net sale increase 16 reach eur 74 8 operating profit amount our 9 compare loss our 7 prior year period,positive
foundry division report sale increase 97 our 631 in our 575 in corresponding period 2006 sale machine shop division increase 164 our 412 in our 354 in corresponding period 2006,positive
helsinki ax share close high lead nikita announce plan team santo manufacture g handiest notion type fourthquarter earning report beat analysis expectation dealer say,positive
cap contract manufacturing service put ltd subsidiary cap corporation finland plan double revenue 20072008,positive
board director propose dividend our 12 per share 2010 our 08 per share pay 2009,positive
lifetime found 2000 revenue rise average 40 margin late be,positive
filippova bilateral agreement investment construction technology park st petersburg sign course forum day russian economy open helsinki today,positive
megafon subscribe base increase 161 2009 505 million user december 31 market share number customer amount 24 late 2009 23 late 2008 accord teliasonera estimate,positive
net income life insurance double our 68 in our 32 in net income online insurance rise our 52 in our 15 in corresponding period 2009,positive
net sale increase eur 193 3 eur 179 9 pretty profit rise 342 eur 43 1 our us 4,positive
net sale urge 185 eur 167 8 delete say eur 20 4 122 sale come acquisition make 2009,positive
order group operating profit increase 2010 18 percent yearonyear 364 billion eur ope total revenue 3 percent 933 billion eur ope,positive
operate profit ninemonth period increase eur 13 6 net sale increase eur 394 7 compare corresponding period 2005,positive
operate profit ninemonth period increase our 1 net sale increase eur 61 5 compare corresponding period 2007,positive
operate profit threemonth period increase our 2 revenue increase eur 20 2 compare corresponding period 2005,positive
brazilian unit finnish security solution provider secure sign 1500 new client last year online news source seller web quote division commercial director vladimir brandy say,positive
company net profit rise 114 year 822 million eur ope 2005 sale 6865 million eur ope 138 year company say early,positive
lithuania beer market make 1441 million liner january rise 08 percent yearearli figure lithuania brewery association report bite result member,positive
like line cargo revenue increase 54 our 2146 in cargo volume increase 24 70116 cargo unit,positive
fair value property portfolio double result kapiteeli acquisition total our 26862 12597 million,positive
10 february 2011 finnish medium company sarcoma of he slav say yesterday 2010 net profit almost triple eur 297 3 eur 107 1 2009 announced proposal raise layout,positive
helsinki elias today report es our 13 2009 increase es our 12 2008,positive
asp ply stock exchange release february 11 2011 at 45 e shipping ltd part asp group sign new long contract rautaruukki corporation marine transport raw material baltic sea,positive
commission income increase 22 our 44 in lending volume rise 135,positive
january traffic measure revenue passenger kilometre up go 32 capacity measure available seat kilometre ask rise 122,positive
januaryseptember 2010 fiskar net profit go 14 yearonyear our 654 million net sale our 5253 million our 4877 million,positive
net income life insurance rise our 165 in our 140 in net income online insurance our 226 in our 152 in 2009,positive
nyrstar also agree supply talvivaara 150000 tone sulphuric acid per anna use talvivaara reach process period supply zinc concentrate,positive
sale department store division hobby hall increase 7 sale clothing store subsidiary seppala decrease 4,positive
sale rise export market,positive
sale increase due grow market rate increase operation,positive
agreement strengthen long partnership nikita nieman network,positive
agreement sign biohit healthcare ltd base subsidiary biohit of finnish public company develop manufacture market liquid handling product diagnostic test system,positive
company also estimate already carry investment lead increase net sale 2010 2009 reach our 1417 million,positive
company order book stand 15 ban neur o 22 ban september 30 2007 242 put year international order amount 365 man neur o 5343 man,positive
company say paper demand increase main market include publication paper increase average paper price 4 percent compare last year,positive
world second large painless steel maker say net profit threemonth period dec 31 urge eur o603 million us 781 million eur ope 33 us 431 per share eur o172 million eur ope 94 per share previous year,positive
within framework partnership nikita niemen network sign initial framework purchase agreement sitronic subsidiary be tikhon large manufacturer export microelectronic component russia,positive
